,GeoID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
251,United States / Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,United States / Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,United States / Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,United States / West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,United States / Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,Uzbekistan,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24
257,Venezuela,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,0.047
258,United States Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,Vietnam,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,0.073
260,Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Yemen,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077
262,South Africa,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055
263,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
264,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001
